Phase,Item No,Part Name,Category,Quantity,Specification,Source / Link,Unit Price (INR),Notes
Phase 1 – TX/RX Test,1,Serplex 15W USB Soldering Iron Kit,Tools,1,180–450°C USB rechargeable,https://www.amazon.in/dp/B0FMF1XV4P,1499,For electronics assembly
Phase 1 – TX/RX Test,2,Flysky FS-i6 Transmitter + FS-iA6B Receiver,Electronics,1,6CH 2.4GHz AFHDS,https://www.amazon.in/dp/B07CXL9LCT,6899,Initial RC link testing
